Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,69.83999634,72.09100342,76.81700134,80.42299652,77.23200226,77.5039978,77.85099792,78.01799774,78.09700012,78.09100342,77.9260025,73.16899872,72.29199982,70.22899628,70.21700287,69.06999969,67.91799927,65.79000092,65.375,62.81399918,61.08599854,59.85900116,59.59899902,59.65000153,58.99700165,59.12200165,59.90200043
Angola,28.7159996,28.24200058,32.61800003,32.55400085,33.13999939,31.83799934,31.19300079,28.43199921,30.30500031,28.56800079,27.85300064,29.86100006,29.32799911,28.43000031,29.97299957,31.04599953,31.41500092,32.93600082,33.93299866,40.15100098,44.49499893,43.84400177,42.2140007,41.70399857,41.82899857,42.10800171,43.64899826
Albania,64.02899933,66.70700073,66.55599976,65.14199829,64.15200043,60.13600159,58.75600052,58.59400177,56.28900146,54.20500183,52.19300079,50.48899841,49.04800034,47.00799942,44.70399857,42.59700012,37.68000031,37.04800034,35.0530014,36.30199814,38.72299957,39.00999832,37.96500015,37.3409996,36.70000076,35.80599976,35.39799881
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,31.61599753,32.95100869,32.01528275,31.67226099,31.2848637,32.25927908,30.02117676,29.33071674,29.1458494,28.66823937,28.36466449,27.95443027,27.92366288,27.04474028,26.40346947,26.26858301,24.5892431,24.14167035,22.92822142,22.25855356,22.42845035,21.89332305,21.56670502,21.61984209,21.65075592,21.61899651,22.02156575
United Arab Emirates,8.354000092,8.642000198,9.076999664,8.930000305,9.008000374,8.326999664,7.551000118,7.136000156,7.089000225,6.734000206,6.375,6.138999939,5.745999813,5.448999882,5.573999882,5.225999832,5.06099987,4.734000206,1.363999963,0.851999998,0.605000019,0.453000009,0.338999987,0.270999998,0.222000003,0.186000004,0.395999998
Argentina,0.470999986,0.449999988,0.55400002,0.592000008,0.788999975,1.110999942,1.139999986,1.123999953,1.090000033,0.963,1.190000057,1.31099999,1.67900002,1.855999947,1.656000018,1.434000015,1.291000009,1.761999965,1.805999994,1.863000035,0.873000026,0.838999987,0.883000016,0.814999998,0.76700002,0.808000028,0.802999973
Armenia,37.32899857,43.95399857,51.2519989,49.47600174,49.25899887,47.1230011,44.99499893,46.13499832,44.14799881,43.49200058,43.61299896,41.88899994,39.27299881,38.2480011,35.16899872,32.69400024,30.35400009,30.83399963,34.17499924,31.6760006,33.14099884,31.34799957,29.02099991,29.96299934,31.25,30.4489994,30.49399948
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,6.574999809,6.390999794,6.453000069,6.160999775,5.948999882,6.131000042,6.236999989,5.947999954,6.015999794,5.964000225,5.784999847,5.448999882,4.943999767,4.577000141,4.486000061,4.296999931,4.203000069,4.19299984,4.076000214,4.006000042,3.586999893,3.535000086,3.411999941,3.618999958,3.312999964,3.437999964,3.391000032
