Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,6.526000023,5.262000084,4.914999962,4.489999771,4.225999832,4.559999943,4.727000237,4.962999821,5.298999786,5.769000053,6.238999844,5.717000008,5.815000057,6.501999855,6.535999775,6.693999767,7.046000004,6.882999897,6.188000202,6.197000027,6.434999943,6.422999859,6.512000084,6.673999786,6.925000191,6.974999905,6.927000046
Angola,,14.92000008,14.38899994,14.51900005,14.79800034,15.32900047,16.20999908,16.10499954,16.64800072,16.35499954,15.07900047,14.91300011,15.71399975,15.73799992,15.95699978,15.58399963,16.67300034,16.79500008,16.53499985,17.05900002,16.16300011,14.7489996,15.93700027,16.59199905,17.18700027,16.56900024,16.46899986,15.91800022
Albania,,19.56900024,16.87899971,17.09799957,18.08099937,18.80200005,17.53700066,18.86499977,17.39299965,17.59399986,19.39699936,20.65399933,21.95299911,23.42399979,24.27499962,25.13299942,26.1779995,24.40999985,28.20999908,26.55800056,25.6609993,24.41399956,22.40999985,22.44000053,21.81699944,22.04500008,21.97599983,22.07999992
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,23.66634808,23.37403374,23.77489576,23.88727752,23.59410691,23.6788197,23.6434337,23.7370796,23.64018252,23.34192108,23.44258255,23.2540445,23.43638016,23.71544498,24.75722903,25.25141733,26.26659672,26.81097771,27.85385958,28.47606511,27.59793438,28.11557479,27.89001415,28.5334045,28.89812672,29.00781027,29.08559146
United Arab Emirates,,33.8030014,34.31700134,35.02700043,35.69100189,36.1570015,36.14899826,36.87400055,38.14099884,38.3390007,38.29499817,40.3390007,41.3219986,42.52299881,42.89400101,44.5890007,35.86500168,30.51399994,26.51799965,31.2159996,32.04100037,32.04600143,32.75899887,32.9640007,34.88199997,37.37200165,39.56600189,43.30599976
Argentina,,41.11000061,40.93700027,38.30899811,37.63800049,34.61299896,32.98799896,34.66500092,34.36800003,32.2519989,31.07299995,29.70599937,27.24900055,28.8390007,30.77799988,31.78499985,32.52799988,33.59999847,33.28300095,32.5019989,32.56399918,33.42599869,33.17300034,33.98400116,34.79499817,34.31000137,34.07799911,33.64099884
Armenia,,31.57900047,26.91900063,21.48399925,24.83399963,22.52499962,22.70100021,23.08699989,21.47200012,22.15800095,21.77400017,20.84700012,21.5,23.02799988,22.81699944,25.26799965,27.21299934,28.3239994,29.70000076,26.90099907,26.65299988,25.58499908,26.56200027,26.04199982,24.06900024,23.09900093,22.8560009,22.86599922
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,31.95899963,31.95599937,31.92499924,31.90399933,31.3029995,30.79500008,30.45100021,30.25900078,29.74900055,30.46299934,29.5909996,29.91399956,29.9489994,30.67700005,30.64599991,31.12299919,31.10300064,31.65699959,31.27099991,31.09799957,30.97599983,30.9810009,30.68300056,30.60499954,29.43300056,29.25900078,28.92399979
Austria,,48.5359993,47.2140007,47.33499908,43.89099884,43.1269989,41.50600052,41.12200165,41.36600113,41.88000107,42.26800156,41.4469986,41.56800079,41.66699982,37.77399826,39.6570015,40.36199951,39.20000076,37.94900131,36.5909996,36.46500015,37.74399948,37.76599884,37.15999985,37.24599838,37.79100037,37.58800125,37.68000031
Azerbaijan,,15.59399986,17.39500046,16.92099953,14.18700027,14.4829998,15.51200008,15.88700008,16.33300018,15.35900021,14.3579998,14.66300011,16.64800072,19.3409996,21.21699905,20.14800072,20.50699997,21.91600037,18.32699966,19.56800079,20.97500038,21.5,21.9090004,22.22100067,21.96299934,21.79500008,22.11400032,21.77499962
Burundi,,4.165999889,3.765000105,3.895999908,3.967999935,3.828999996,3.548000097,3.986999989,3.868999958,3.927999973,3.911999941,3.947999954,3.977999926,4.112999916,4.228000164,4.413000107,4.215000153,4.434000015,4.215000153,4.342000008,4.447000027,4.348999977,4.321000099,4.353000164,4.520999908,4.210999966,4.25,4.295000076
Belgium,,40.87400055,40.42200089,38.93199921,38.39899826,37.96099854,37.45199966,36.99000168,37.00899887,37.45399857,36.74499893,35.40399933,35.57400131,34.9090004,35.6609993,34.94599915,35.51900101,34.9659996,36.18399811,34.6570015,34.27199936,34.43000031,32.64199829,32.79000092,32.6570015,32.75600052,32.44300079,32.48699951
Benin,,9.083999634,9.149999619,9.37100029,9.569999695,9.602000237,9.762000084,9.94699955,9.819000244,15.21000004,15.14599991,15.54500008,15.35200024,15.33699989,14.86299992,14.81900024,14.58199978,14.21100044,13.58300018,13.73700047,13.76599979,19.78000069,19.20499992,19.91900063,20.29700089,19.81500053,19.91399956,19.78899956
Burkina Faso,,3.608999968,3.687000036,3.648000002,3.753000021,3.825999975,3.86500001,4.21999979,4.205999851,4.741000175,4.622000217,4.633999825,4.699999809,5.480000019,5.93599987,6.058000088,6.589000225,7.995999813,8.866999626,10.54599953,12.22000027,14.63599968,17.22100067,20.63500023,30.88800049,31.19000053,31.34300041,31.59499931
Bangladesh,,15.03899956,13.73200035,13.05000019,12.15999985,11.19900036,10.41600037,10.61900043,11.03100014,11.16300011,11.30300045,11.84599972,12.20100021,12.27099991,13.68299961,15.13099957,15.13599968,15.90699959,16.83399963,18.02799988,19.22999954,18.66500092,18.86800003,19.68799973,20.52099991,22.20499992,22.64599991,22.96800041
Bulgaria,,42.86399841,43.00500107,40.79800034,38.90000153,38.80400085,35.86199951,36.5890007,37.35800171,37.90599823,37.60699844,36.32899857,36.13600159,35.74700165,36.75500107,38.86600113,40.01900101,41.49599838,43.00799942,42.37200165,40.73600006,38.1780014,36.93999863,35.87599945,36.25,36.2120018,36.27299881,36.09500122
Bahrain,,32.76399994,31.58600044,30.4640007,31.94300079,32.94300079,31.24600029,32.08300018,31.53499985,29.80400085,31.14100075,32.45999908,32.46099854,32.74300003,32.49599838,35.15100098,38.09700012,40.85800171,42.52600098,41.74700165,42.60699844,41.71300125,41.88600159,41.46900177,41.89500046,42.39099884,42.65100098,41.74599838
"Bahamas, The",,24.03300095,23.84799957,18.60000038,19.3409996,21.88199997,22.29000092,22.19300079,23.87199974,26.63599968,28.19599915,27.08200073,28.15299988,25.22999954,26.00499916,29.36499977,30.33200073,29.27300072,27.11700058,27.52400017,24.68199921,21.04199982,21.96699905,22.12999916,22.5890007,19.50699997,18.9109993,18.8010006
Bosnia and Herzegovina,,35.25400162,35.06700134,34.72100067,33.18700027,33.66600037,32.63499832,36.02399826,37.2519989,36.16899872,35.64799881,35.64799881,35.04800034,35.43199921,35.20800018,36.31700134,35.70500183,36.80500031,37.74499893,37.93399811,37.26699829,37.60100174,37.05400085,37.29100037,38.29199982,42.72800064,38.35699844,38.38700104
Belarus,,46.98099899,46.25999832,44.9070015,43.30400085,42.04499817,42.74700165,44.52399826,44.54499817,43.43799973,43.42900085,42.47299957,42.20199966,43.62900162,45.31499863,44.53699875,44.9070015,45.4280014,47.14899826,46.10900116,45.39699936,45.7859993,45.54100037,46.08499908,45.60599899,43.99200058,43.20100021,42.80899811
Belize,,23.88899994,22.5739994,22.94199944,22.62000084,21.15600014,19.56599998,19.52799988,20.95299911,19.1989994,21.2140007,21.24200058,21.2670002,20.97299957,21.44599915,21.70899963,22.56299973,22.79500008,24.25499916,23.0359993,22.28800011,22.92499924,22.16200066,21.5,21.36000061,20.96699905,19.17700005,19.12199974
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,25.26499939,25.43000031,25.56399918,25.40200043,25.79599953,26.0189991,25.72400093,26.68700027,25.76499939,25.12199974,20.54599953,22.89500046,27.6079998,27.67399979,27.27000046,24.3029995,28.74300003,27.04199982,28.41799927,28.28499985,28.6420002,27.68799973,27.0739994,28.76000023,30.4109993,30.65299988,30.31900024
Brazil,,25.89900017,26.09499931,26.54800034,28.6590004,25.77099991,26.1420002,26.42300034,26.66300011,25.52400017,26.5890007,26.63999939,27.37800026,26.54800034,26.7159996,27.19599915,27.40800095,28.32900047,29.1989994,28.63599968,29.0890007,28.79700089,30.37899971,30.5510006,30.73399925,29.76399994,28.18199921,28.07299995
Barbados,,30.09300041,29.22500038,29.19499969,29.47200012,30.1439991,29.13100052,30.99799919,32.22900009,31.29400063,32.47399902,31.05900002,30.56699944,29.52000046,29.81800079,32.3429985,35.09400177,38.08399963,41.13199997,44.49499893,44.40100098,29.54299927,28.19499969,29.4810009,30.40299988,28.6420002,29.12599945,29.05800056
Brunei Darussalam,,31.54199982,31.93400002,31.58200073,31.37000084,32.93299866,34.16699982,33.19300079,32.27899933,28.61199951,28.09000015,28.46500015,29.18099976,27.81200027,26.81299973,26.18300056,25.34700012,25.13199997,25.90500069,25.69799995,25.68000031,25.70499992,25.74900055,25.82299995,24.1989994,24.04599953,23.35300064,23.15099907
Bhutan,,2.197999954,2.365999937,2.378999949,2.520999908,2.618000031,2.640000105,2.493999958,2.576999903,2.782999992,3.046000004,3.576999903,3.779000044,3.821000099,4.961999893,6.093999863,8.986000061,5.894999981,4.706999779,3.976999998,6.553999901,9.609999657,9.883000374,11.41499996,12.36400032,9.921999931,9.934000015,10.08100033
Botswana,,30.67900085,30.52300072,29.96800041,29.39699936,29.11199951,29.75200081,27.56599998,26.58499908,25.41699982,26.23800087,31.38800049,30.17200089,27.10199928,23.85199928,20.72900009,18.65600014,20.9090004,22.56900024,24.09900093,20.62899971,20.86400032,20.86700058,20.85700035,20.875,20.98200035,20.62299919,20.57900047
Central African Republic,,10.19999981,10.0369997,10.03600025,9.642999649,9.798999786,8.859999657,8.425000191,8.454999924,8.543999672,8.546999931,8.434000015,8.42800045,8.38599968,8.350000381,8.553999901,8.55300045,8.571000099,8.633999825,8.680000305,8.68999958,8.638999939,8.531000137,9.673999786,9.579000473,9.416000366,9.352999687,9.392000198
Canada,,32.19100189,31.27599907,30.61100006,30.79100037,31,30.94000053,31.31399918,31.56599998,31.61800003,32.01699829,32.00299835,32.26300049,31.99300003,32.23899841,32.05400085,31.38800049,30.95999908,31.06699944,30.05400085,30.00799942,29.77300072,29.95400047,29.89299965,29.65600014,29.31500053,29.32699966,29.40600014
Central Europe and the Baltics,,45.40939514,43.05790265,41.95019973,41.30347619,40.73663448,40.53068961,40.70340122,40.58907764,39.64403189,39.15539895,38.94204612,39.30130508,39.08913869,39.85048282,40.22605617,40.90442136,42.12104134,43.31015629,42.1076605,41.0409413,41.19700779,40.8165312,40.73295873,40.77554297,40.80061076,41.74840594,41.49376465
