Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,23.63400078,22.64699936,18.26799965,15.08699989,18.54199982,17.93600082,17.42099953,17.0189991,16.60400009,16.13999939,15.83500004,21.11400032,21.89299965,23.2689991,23.24699974,24.23600006,25.0359993,27.32699966,28.43700027,30.98900032,32.47900009,33.7179985,33.88899994,33.67499924,34.07699966,33.90200043,33.17100143
Angola,56.36500168,57.36899948,52.86399841,52.64899826,51.5320015,51.95199966,52.70199966,54.92100143,53.34000015,56.35300064,57.23400116,54.42499924,54.93500137,55.61299896,54.44300079,52.28099823,51.79000092,50.52899933,49.00799942,43.68600082,40.75600052,40.21900177,41.19400024,41.11000061,41.60300064,41.42300034,40.43299866
Albania,16.40200043,16.41300011,16.34600067,16.77700043,17.04500008,22.32699966,22.37800026,24.01199913,26.11599922,26.39699936,27.15200043,27.55699921,27.52700043,28.7159996,30.16200066,31.22400093,37.9090004,34.74200058,38.38899994,38.03699875,36.86299896,38.58000183,39.59400177,40.8409996,41.25500107,42.21699905,42.52099991
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,44.71787685,43.67516725,44.2101753,44.44068166,45.1214326,44.06276823,46.33570101,46.93252868,47.21432285,47.99042457,48.1933756,48.7919783,48.64028606,49.24038049,48.8401216,48.48067394,49.14488781,49.04798373,49.2187941,49.26608316,49.97458383,49.99203517,50.54421881,49.84803116,49.45223807,49.37434592,48.89399204
United Arab Emirates,57.8429985,57.04100037,55.89500046,55.37900162,54.83499908,55.52399826,55.57500076,54.72399902,54.5719986,54.97000122,53.2859993,52.5379982,51.73099899,51.65599823,49.83599854,58.90800095,64.42500305,68.74700165,67.41899872,67.10600281,67.34799957,66.78600311,66.69499969,64.84400177,62.40200043,60.24200058,56.29600143
Argentina,58.42100143,58.61500168,61.13800049,61.77199936,64.59799957,65.90200043,64.1969986,64.50900269,66.65799713,67.96399689,69.10399628,71.43900299,69.48100281,67.36499786,66.55799866,66.03700256,65.10700226,64.95400238,65.69100189,65.5719986,65.7009964,65.98600006,65.13200378,64.38899994,64.92199707,65.11299896,65.55400085
Armenia,31.0909996,29.12800026,27.26300049,25.69000053,28.2159996,30.1760006,31.91799927,32.39300156,33.69400024,34.73400116,35.54000092,36.61100006,37.69900131,38.93399811,39.56200027,40.0929985,41.32300186,39.4659996,38.92399979,41.66999817,41.27399826,42.0890007,44.93700027,45.9679985,45.65000153,46.69499969,46.63899994
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,61.46500015,61.65299988,61.62200165,61.93500137,62.74700165,63.07400131,63.31200027,63.79299927,64.23500061,63.5719986,64.62400055,64.63700104,65.10700226,64.7460022,64.86799622,64.58000183,64.69400024,64.15000153,64.65299988,64.89600372,65.43699646,65.48400116,65.90499878,65.77600098,67.2539978,67.30400085,67.68499756
Austria,44.84999847,46.40100098,46.42100143,49.50799942,50.18600082,51.9469986,52.6269989,52.72499847,52.44499969,51.93399811,53.11800003,52.93099976,53.04999924,57.29299927,55.07799911,54.42699814,55.34799957,56.7820015,57.98300171,58.13199997,57.07500076,57.18000031,57.92100143,57.68000031,57.39400101,57.69200134,57.63499832
Azerbaijan,49.4109993,45.63199997,43.04499817,41.91600037,40.94400024,39.90200043,41.62200165,43.08599854,43.46699905,45.57099915,46.38899994,46.23300171,45.8030014,43.57400131,43.31900024,43.63700104,43.16199875,43.25999832,48.10300064,46.75299835,46.31100082,46.34400177,46.7179985,46.8390007,47.23199844,46.94800186,46.43899918
Burundi,9.354000092,9.17800045,8.637000084,9.114999771,8.965999603,8.375,8.805000305,8.968000412,8.786999702,8.864999771,9.083000183,9.142000198,9.031000137,9.107000351,8.928999901,9.126000404,9.602000237,9.604999542,9.489999771,9.640999794,9.675999641,9.805999756,9.991999626,10.05000019,9.68500042,9.963000298,9.81799984
