Country Name,WVS country name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0.029310471,,,2.138837707,3.605769231,3.981229008,6.16428154,13.48238863,16.51018679,57.05182028,65.05811016,72.10282734,99.64754854,103.3849507,108.1303554,112.2169532,119.1933145,126.1667964,129.636369,,131.6084502,134.5130685,134.5922251,135.13384,,
Afghanistan,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113740162,0.867120278,2.487667492,4.78644517,9.733604444,17.53816162,28.94006019,37.49420045,35.46776644,46.44405817,49.972753,52.96647314,56.19133269,58.42052823,62.33541682,
Angola,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008206668,0.013177952,0.013974356,0.022462445,0.046736092,0.063337194,0.150472427,0.156961981,0.441611172,0.796692633,1.922721008,3.922459132,8.239941385,15.07531265,23.62896447,31.12838486,35.9626781,40.23840253,49.85108738,50.94450344,51.10017793,52.20027766,49.83804154,45.12169884,
Albania,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074380026,0.106691117,0.18042638,0.353321505,0.954237228,12.5752304,27.28413234,35.35834883,40.6614872,49.69649377,62.53038718,76.80249426,62.16072664,83.16046357,91.56092875,105.9228287,119.8614128,126.2764913,115.0261146,116.3375126,115.1522649,
Andorra,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,1.307566907,1.279296715,1.250857571,4.424432263,8.527035426,13.39717382,22.00898008,32.00248563,36.00397614,43.70145973,46.81009008,70.90951327,76.5515975,81.8593328,85.19959008,76.80297038,76.55763704,76.42371717,77.5556845,77.66355029,77.47692009,79.13427737,83.61334461,91.43999795,92.04332242,
Arab World,Arab World,0,0,0.001410714,0.002097303,0.002824052,0.004625693,0.011705585,0.0177863,0.020203768,0.029291579,0.039410636,0.056785897,0.064232596,0.081972555,0.105683944,0.198590798,0.356712296,0.612634949,0.936523164,1.492291001,3.179935126,5.74838639,8.5295588,11.60188574,16.84806472,26.80853861,38.8730559,52.57073469,62.94455818,76.1395434,87.5220718,96.38783596,102.1648231,106.7436754,106.3398829,104.6794769,101.3827326,
United Arab Emirates,United Arab Emirates,,,0.195873212,0.284423731,0.374371055,0.569640819,0.760145576,0.878505918,0.834798342,1.420580248,1.805099953,2.183118395,2.344392106,3.197691407,3.928739212,5.266536536,7.539186782,11.45821682,17.38029593,27.85213787,45.26621077,57.40482954,69.23040734,79.43305758,90.09733775,99.00822393,105.2891894,127.9189658,135.731907,139.2033777,132.1053857,135.2255383,154.7702347,178.359737,185.4180422,196.0013991,214.7349102,
Argentina,Argentina,0,0,0,0,0,0,0,0,0,0.007128785,0.036663904,0.075315002,0.13843349,0.328340631,0.697847669,1.158443077,1.883190256,5.60661589,7.369604921,10.50224257,17.50781462,17.99177877,17.33135177,20.47079124,34.88984757,56.60020383,79.65438363,101.0796712,115.1709326,128.6361343,138.4689785,145.7687913,152.8090976,158.3489275,142.4663975,142.4348098,145.3305063,
Armenia,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009469054,0.159587065,0.251907238,0.264194079,0.569652996,0.836017183,2.351727827,3.790137603,6.775584447,10.66811035,42.58110529,63.97460533,49.58359409,75.86762234,134.3391104,111.6718674,115.2993384,115.6476444,119.0252975,118.7709765,117.428481,
American Samoa,American Samoa,0,0,0,0,0,0,0,,,,0,0,1.411489525,1.77444795,2.316468158,2.364379209,2.41057687,2.548188056,2.683315146,3.170688744,3.463083048,3.706059304,3.466653045,3.552277687,3.796571274,,,,,,,,,,,,,
Antigua and Barbuda,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,,0,,,,,,1.718940075,1.800897876,1.878498704,10.38726155,26.32082695,29.39205474,44.28743653,52.81064919,61.1849485,96.35530458,122.0108304,122.9807071,147.7021562,144.1799083,177.4437202,183.8798985,131.6232163,116.9017828,121.4068268,176.1356244,178.2831334,
Australia,Australia,0,0,0,0,0,0,0,0.027210198,0.191330413,0.56293083,1.085255106,1.687477572,2.842282271,3.901064702,6.8222219,12.40267674,21.83706648,24.78937693,26.34871762,33.47626435,44.90754851,57.77295033,65.05712832,72.83860687,82.61302181,91.012838,96.04538942,101.4958754,103.6429999,102.1204248,101.7176081,105.8238999,106.6434188,107.728789,106.7533735,108.2793309,110.0520902,
Austria,Austria,0,0,0,0,0,0.128196575,0.25053135,0.343262099,0.481848426,0.659865022,0.954149231,1.484709112,2.202202471,2.798486991,3.500587439,4.800115042,7.467176728,14.43692147,28.51493275,52.79261389,75.80605745,80.77554402,82.8086898,88.96932087,97.26408257,104.9838556,112.0253092,119.2523915,129.7123099,136.6063093,145.5537959,153.9336566,159.5294796,154.7253124,150.0321433,155.2155247,163.7944858,
Azerbaijan,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006507274,0.07716619,0.216407425,0.504689257,0.813526671,4.593919265,5.17559282,8.905394095,9.595246596,12.64268165,17.23923946,26.25721341,38.51013795,51.79782823,74.22430613,86.92028501,100.7490321,110.6460272,109.2853827,107.9359163,111.0350828,111.2258882,104.7671576,
Burundi,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006116369,0.006437761,0.009459821,0.00928637,0.010127457,0.010022061,0.012741004,0.254971873,0.509714332,0.771333795,0.920451027,1.400079165,2.061081011,2.605748437,3.400686662,5.852028137,10.84633806,19.14044027,21.17083327,24.11154424,26.42481094,32.28189236,49.00052651,50.90988631,
Belgium,Belgium,0,0,0,0,0,0,0.038253351,0.072649266,0.192328161,0.308521613,0.428519577,0.512179707,0.609837111,0.66976167,1.261047868,2.309551893,4.684160644,9.531632548,17.1557654,31.07315732,54.74598263,74.59042376,78.16562364,82.59725088,87.13361692,91.0666428,92.72859242,100.3765809,105.2186842,108.424729,111.110074,113.4644495,111.0959485,110.435401,113.5087018,113.1658212,110.4983466
Benin,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017779861,0.044418854,0.068373875,0.097152126,0.109077027,0.807987124,1.76635179,2.998741398,3.140393229,5.926732425,7.469934761,12.84824586,24.26761348,41.68565041,56.27182157,76.90743352,82.07767164,86.41903309,96.2316373,84.19047797,88.1051181,81.7903446
Burkina Faso,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005061341,0.014092106,0.024888948,0.044634702,0.217480411,0.637828667,0.903051305,1.88147871,3.038539606,4.720289854,7.351160521,13.03701419,20.58683736,25.25328578,36.57655001,47.76859755,60.20140586,65.84120178,71.04746583,79.77028842,82.61118896
Bangladesh,Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0.000224776,0.000439773,0.000950231,0.002106028,0.003298435,0.02099235,0.059312936,0.115477297,0.212036301,0.387749618,0.786965411,0.981880168,1.968444857,6.274789733,13.16038088,23.35883443,29.99882787,34.13606372,44.64297594,54.81622359,62.40405769,73.96847136,79.58713274,81.49814015,83.44924467
Bulgaria,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011660599,0.076699161,0.249666435,0.320651356,0.852439548,1.560663609,4.338726618,9.227552572,19.54468204,33.02211545,44.86061487,61.0818771,81.27426627,108.2421033,130.7987803,138.8622153,140.219688,137.7516108,142.3977664,147.4715073,144.3245321,131.3588553,128.1054159,125.8343483
Bahrain,Bahrain,0,0,0,0,0,0,0.142566473,0.381314689,0.620375665,0.88361845,1.037845991,1.442625524,1.851126103,2.118561094,3.20531016,4.89623008,6.926251322,9.840317348,15.00125468,20.9675671,30.95435847,42.94852405,52.9131549,56.90288181,78.2991584,86.27199809,94.68069123,107.7313154,129.2656493,118.3071469,126.2831806,132.4955858,163.349887,168.0227701,174.2741117,183.6239982,210.140748
"Bahamas, The","Bahamas, The",0,0,0,0,0,0,0,0,0,0,0.749797141,0.773602537,0.976951461,0.885438755,,1.463501696,1.74354276,2.160504582,2.782872509,5.419794803,10.58242976,19.97624821,39.38419638,38.71086253,57.67193963,69.17894967,75.33186434,109.2516534,102.6884558,101.1148184,118.7192378,81.51011545,80.63670744,76.07888877,82.38292483,80.44064957,92.06813349
Bosnia and Herzegovina,Bosnia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039678572,0.239844517,0.671406498,1.399450616,2.479248447,11.79203157,19.83099242,28.43926317,37.22121595,42.16195561,49.94935795,64.9291203,84.46797866,86.93943593,83.56160151,85.96907179,92.0328107,96.76338329,97.90202025,97.38568949,96.793321
Belarus,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003176312,0.016946229,0.058142585,0.064773502,0.081077639,0.121149468,0.234876914,0.496828494,1.401089298,4.71728126,11.47837579,23.14053609,42.60751108,62.24515128,72.9799649,85.49192197,102.107906,109.0765603,112.9524212,112.7193343,117.254509,120.211978,120.688975,120.6731574
Belize,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20241276,0.412546982,0.747476602,1.022108239,1.147983358,1.535061055,2.757440613,6.797808463,15.35586547,19.7283815,22.44380039,27.16515327,33.88909089,40.58511352,39.64853371,52.26985449,51.5349012,60.38438099,67.56148388,51.20953012,50.73348035,48.9914528,58.99055911,61.86061468
Bermuda,Bermuda,0,0,0,0,0,0,0,,,1.230632,1.825045134,2.348643006,3.138933476,5.480865332,8.218848688,10.0867679,12.66948211,16.24432887,19.79499614,20.07307855,20.30361717,20.72819987,46.4324408,61.66178511,75.30930608,80.94580071,92.37200867,106.3305184,122.2437137,132.1866787,137.9073113,,144.0352016,150.2286088,95.36565035,61.28735706,
Bolivia,Bolivia,0,0,0,0,0,0,0,0,0,0,0,0.004218793,0.021747949,0.036555732,0.054671465,0.095536847,0.432785833,1.50470311,2.98111672,5.136976592,6.986260107,9.179408866,11.82586618,14.51513095,20.08074274,26.53472299,30.98178952,34.46940955,52.48620943,66.24200154,72.3847331,82.88339661,92.7161177,100.2446092,98.94133387,94.76091883,92.82077083
Brazil,Brazil,0,0,0,0,0,0,0,0,0,0,0.000446596,0.004408574,0.020703361,0.115825682,0.359418026,0.792088624,1.514828646,2.715685664,4.329899682,8.701530372,13.22864408,16.17196098,19.36206845,25.41249446,35.51236744,46.12216626,52.86352359,63.3315358,78.06102237,86.91075624,100.0679429,117.9533009,123.8145622,133.9368763,137.468532,125.1755852,117.5362334
Barbados,Barbados,0,0,0,0,0,0,0,0,0,0,0,0.186010908,0.303603576,0.592955236,1.123799784,1.7414015,2.362545217,3.001741932,4.478447472,7.552003927,10.54931128,19.62096163,35.80142774,51.42181313,73.28619398,75.24935312,86.21286436,93.28118776,104.0902354,121.0403275,125.2145266,123.9899359,124.0463803,108.9197158,107.7883445,117.7945021,116.5658465
Brunei Darussalam,Brunei Darussalam,0,0,0,0,0,0,0,0,0,,0.684738296,1.13604783,1.497647493,2.947283239,5.396079786,12.07333979,14.28426086,14.42132048,15.39023,20.22746706,28.50789669,42.04553139,44.29565222,50.18973426,56.3118354,63.78061004,81.40445645,97.67222246,105.1693861,107.5852329,111.9492001,112.4737001,117.5090307,115.5522582,109.8007306,110.9790153,123.6904413
